,imdb_id,adult,budget,revenue,vote_average,vote_count,video,status,homepage
0,tt2637294,False,14000000.0,12314651.0,5.1,498.0,False,Released,
1,tt0368933,False,40000000.0,95149435.0,6.4,1663.0,False,Released,
2,tt2582802,False,3300000.0,13092000.0,8.4,7758.0,False,Released,http://sonyclassics.com/whiplash/
3,tt1821480,False,1200000.0,16000000.0,7.5,122.0,False,Released,http://kahaanithefilm.com/
4,tt1380152,False,0.0,3923970.0,5.7,9.0,False,Released,
5,tt0093743,False,8000000.0,3261638.0,5.4,8.0,False,Released,
6,tt0431021,False,14000000.0,85446075.0,5.9,904.0,False,Released,http://www.thepossessionmovie.com/
7,tt0391024,False,0.0,2586511.0,7.4,30.0,False,Released,
8,tt0117110,False,0.0,34327391.0,6.4,160.0,False,Released,
9,tt0310281,False,6000000.0,18750246.0,6.9,115.0,False,Released,
10,tt0075148,False,1000000.0,117235147.0,7.7,3648.0,False,Released,
11,tt0093857,False,0.0,22642033.0,5.4,109.0,False,Released,
12,tt0169547,False,15000000.0,356296601.0,8.0,6417.0,False,Released,http://www.dreamworks.com/ab/
13,tt0377471,False,53000000.0,95226116.0,5.5,457.0,False,Released,
14,tt0181689,False,102000000.0,358372926.0,7.3,4504.0,False,Released,
15,tt1129437,False,500000.0,198.0,5.8,24.0,False,Released,http://skinningmovie.com/synopsis.htm
16,tt0421239,False,26000000.0,57891803.0,6.2,858.0,False,Released,
17,tt1700845,False,0.0,1234254.0,6.0,111.0,False,Released,
18,tt1487118,False,8000000.0,1749457.0,6.3,365.0,False,Released,
19,tt0388482,False,32000000.0,85167639.0,6.3,1767.0,False,Released,
20,tt0120738,False,80000000.0,136159423.0,5.2,614.0,False,Released,
21,tt0083972,False,4000000.0,36690067.0,5.8,517.0,False,Released,
22,tt2105044,False,0.0,100345.0,5.9,596.0,False,Released,http://www.magnetreleasing.com/vhs/
23,tt1687277,False,0.0,17011.0,5.0,15.0,False,Released,
24,tt0779982,False,0.0,4947717.0,5.7,315.0,False,Released,http://www.blacksheep-themovie.com/
25,tt0104139,False,0.0,8403433.0,5.5,52.0,False,Released,
26,tt0120176,False,10000000.0,13835130.0,7.0,119.0,False,Released,
27,tt1486834,False,11000000.0,7847000.0,6.6,1150.0,False,Released,
28,tt0092106,False,6000000.0,5849647.0,6.9,202.0,False,Released,
29,tt0264472,False,45000000.0,94935764.0,6.1,487.0,False,Released,
30,tt1675434,False,13000000.0,426480871.0,8.2,9768.0,False,Released,
31,tt0387898,False,0.0,36000000.0,7.2,433.0,False,Released,http://www.cache-derfilm.at
32,tt1618442,False,90000000.0,146936910.0,5.8,2163.0,False,Released,http://www.thelastwitchhunter.movie/
33,tt2926810,False,0.0,7171.0,5.3,145.0,False,Released,
34,tt0293564,False,140000000.0,258022233.0,6.2,1422.0,False,Released,
35,tt1656190,False,30000000.0,40346186.0,6.3,1233.0,False,Released,http://www.safethefilm.com/
36,tt0199314,False,0.0,151559.0,5.3,59.0,False,Released,
37,tt0114069,False,50000000.0,189859560.0,6.4,843.0,False,Released,
38,tt2710368,False,0.0,92100.0,3.4,6.0,False,Released,http://www.watchfinal.com/
39,tt0059418,False,3800000.0,14873.0,6.5,59.0,False,Released,
40,tt0380268,False,0.0,163000.0,7.4,82.0,False,Released,http://www.magpictures.com/profile.aspx?id=9833910c-fd4a-4fcb-a734-b3d252473a03
41,tt0061512,False,3200000.0,16217773.0,7.8,631.0,False,Released,
42,tt0156841,False,25000000.0,24362772.0,4.7,60.0,False,Released,
43,tt2933544,False,6000000.0,1020921.0,5.9,144.0,False,Released,
